,TXNAME,GENENAME
1,ENSMUST00000000001.4,Gnai3
2,ENSMUST00000000003.13,Pbsn
3,ENSMUST00000000010.8,Hoxb9
4,ENSMUST00000000028.13,Cdc45
5,ENSMUST00000000033.11,Igf2
6,ENSMUST00000000049.5,Apoh
7,ENSMUST00000000058.6,Cav2
8,ENSMUST00000000080.7,Klf6
9,ENSMUST00000000087.12,Scmh1
10,ENSMUST00000000090.7,Cox5a
11,ENSMUST00000000094.13,Dlgap4
12,ENSMUST00000000095.6,Tbx2
13,ENSMUST00000000096.11,Tbx4
14,ENSMUST00000000109.10,Cntn1
15,ENSMUST00000000122.6,Ngfr
16,ENSMUST00000000127.5,Wnt3
17,ENSMUST00000000128.9,Wnt9a
18,ENSMUST00000000129.13,Fer
19,ENSMUST00000000137.7,Actr2
20,ENSMUST00000000145.11,Acsl6
21,ENSMUST00000000153.8,Gna12
22,ENSMUST00000000161.13,Itgb2l
23,ENSMUST00000000163.12,Igsf5
24,ENSMUST00000000171.14,Pih1d2
25,ENSMUST00000000175.5,Sdhd
26,ENSMUST00000000186.8,Fgf23
27,ENSMUST00000000187.6,Fgf6
28,ENSMUST00000000188.11,Ccnd2
29,ENSMUST00000000193.5,Ccl2
30,ENSMUST00000000194.3,Ccl12
31,ENSMUST00000000199.7,Ncs1
32,ENSMUST00000000201.6,Nalcn
33,ENSMUST00000000206.3,Btbd17
34,ENSMUST00000000208.12,Slfn4
35,ENSMUST00000000219.9,Th
36,ENSMUST00000000220.2,Ins2
37,ENSMUST00000000221.5,Scnn1g
38,ENSMUST00000000228.4,Drp2
39,ENSMUST00000000253.5,Lhx2
40,ENSMUST00000000254.13,Clec2g
41,ENSMUST00000000260.12,Gmpr
42,ENSMUST00000000266.8,Ifi202b
43,ENSMUST00000000275.8,Glra3
44,ENSMUST00000000284.6,Trim25
45,ENSMUST00000000285.8,Dgke
46,ENSMUST00000000287.8,Scpep1
47,ENSMUST00000000291.8,Mnt
48,ENSMUST00000000299.13,Itgb2
49,ENSMUST00000000304.13,Hddc2
50,ENSMUST00000000305.6,Tpd52l1
51,ENSMUST00000000310.13,Pemt
52,ENSMUST00000000312.11,Cdh1
53,ENSMUST00000000314.12,Cdh4
54,ENSMUST00000000317.12,Ckmt1
55,ENSMUST00000000326.11,Bcl6b
56,ENSMUST00000000327.12,Clec10a
57,ENSMUST00000000329.8,Alox12
58,ENSMUST00000000335.11,Comt
59,ENSMUST00000000342.2,Ccl11
60,ENSMUST00000000348.14,Rtca
61,ENSMUST00000000349.10,Dbt
62,ENSMUST00000000356.9,Dazap2
63,ENSMUST00000000365.2,Mcts1
64,ENSMUST00000000369.3,Rem1
65,ENSMUST00000000384.7,Trappc10
66,ENSMUST00000000388.14,Ccm2
67,ENSMUST00000000394.13,Tbrg4
68,ENSMUST00000000395.7,Tmprss2
69,ENSMUST00000000402.15,Fap
70,ENSMUST00000000412.2,Egfl6
71,ENSMUST00000000421.5,Tssk3
72,ENSMUST00000000430.13,Galnt1
73,ENSMUST00000000445.1,Myf5
74,ENSMUST00000000449.8,Mkrn2
75,ENSMUST00000000450.4,Pparg
76,ENSMUST00000000451.13,Raf1
77,ENSMUST00000000466.12,Plin2
78,ENSMUST00000000476.14,Pdgfra
79,ENSMUST00000000500.7,Pdgfb
80,ENSMUST00000000505.15,Mcm7
81,ENSMUST00000000514.10,Serpinb8
82,ENSMUST00000000542.13,Acvrl1
83,ENSMUST00000000543.5,Grasp
84,ENSMUST00000000544.11,Acvr1b
85,ENSMUST00000000572.6,Gabra2
86,ENSMUST00000000573.8,Ovgp1
87,ENSMUST00000000574.2,Adora3
88,ENSMUST00000000579.2,Sox9
89,ENSMUST00000000590.15,Rdx
90,ENSMUST00000000594.8,C1d
91,ENSMUST00000000608.7,Gm2a
